Symbol,Score,ENSG
TAF10,6.0891380560779494e-05,ENSG00000166337
SCMH1,2.663004368087268e-05,ENSG00000010803
ESF1,0.00027873730256128753,ENSG00000089048
DDX52,0.0001972551626225684,ENSG00000278053
POLR1D,7.386415459370983e-05,ENSG00000186184
UBXN1,0.00010645565233978065,ENSG00000162191
NOP16,0.0001687170887774804,ENSG00000048162
CHFR,5.1619706184026784e-05,ENSG00000072609
SRP19,0.00022058990007155604,ENSG00000153037
ELOF1,0.00018227895698697363,ENSG00000130165
MND1,3.8287368433434404e-05,ENSG00000121211
CENPP,4.0077824797141314e-05,ENSG00000188312
MASTL,0.0002604966613620459,ENSG00000120539
SMC6,0.00014330155282692573,ENSG00000163029
SSNA1,8.93620569818523e-05,ENSG00000176101
MRPL51,8.263952026634889e-05,ENSG00000111639
EIF3K,0.00012679410703903853,ENSG00000178982
PSMB6,0.0004019848584994404,ENSG00000142507
WRAP73,0.00012594102010469215,ENSG00000116213
HNRNPUL1,6.042016662858907e-05,ENSG00000105323
LYPLA1,0.00019092395733925633,ENSG00000120992
SRSF3,0.00014883121631527308,ENSG00000112081
RPL13A,0.0002909982559096844,ENSG00000142541
HUWE1,0.00017856503144983503,ENSG00000086758
MIER2,1.581021950073007e-05,ENSG00000105556
ILF2,0.00022711478993877864,ENSG00000143621
SMARCA1,0.00020664328084024324,ENSG00000102038
METTL26,4.020632154409612e-05,ENSG00000130731
PTGES3,0.00034085015684222076,ENSG00000110958
RTF2,8.201640473097635e-05,ENSG00000022277
PSME2,0.00010340018957639255,ENSG00000100911
DYRK2,5.4959838223697416e-05,ENSG00000127334
FANCL,3.713103141991972e-05,ENSG00000115392
WDR83OS,4.086774929515296e-05,ENSG00000105583
HMGN3,9.122806412551032e-06,ENSG00000118418
EP400,6.496565016951768e-05,ENSG00000183495
RBM26,0.00010942024154881031,ENSG00000139746
SIRT2,0.0013626165467458076,ENSG00000068903
ATM,9.50123333431376e-05,ENSG00000149311
DOT1L,2.9891789767101505e-05,ENSG00000104885
CASP7,3.1783097338881886e-05,ENSG00000165806
MDC1,4.8913594830556383e-05,ENSG00000137337
UPF3B,0.00036927923883627316,ENSG00000125351
NUP42,4.1777893675642206e-05,ENSG00000136243
IDH3B,0.00019815731787746973,ENSG00000101365
E2F3,4.991804545580409e-05,ENSG00000112242
PUS3,7.891602169478525e-05,ENSG00000110060
DCTN3,0.0001423119347870086,ENSG00000137100
AP2M1,0.00025965746411813433,ENSG00000161203
DHPS,0.00014284246845427424,ENSG00000095059
TAP2,2.636585294054742e-05,ENSG00000204267
PITRM1,0.00012000135801310044,ENSG00000107959
SETD1B,8.379194941508417e-05,ENSG00000139718
DDX27,0.00025494150887123477,ENSG00000124228
TPD52L2,8.908222034353172e-05,ENSG00000101150
DOCK1,6.555893016280579e-05,ENSG00000150760
GEN1,6.38952112383438e-05,ENSG00000178295
PRMT2,6.032582146872176e-06,ENSG00000160310
NDUFA5,0.00022456138995443717,ENSG00000128609
LARP4B,5.175064959109271e-05,ENSG00000107929
WDR6,6.950121352300329e-05,ENSG00000178252
RAD51C,7.29381231997409e-05,ENSG00000108384
RBBP6,0.0001444619240937017,ENSG00000122257
MRPL55,6.563750554097189e-05,ENSG00000162910
DDX1,0.0002607847728227894,ENSG00000079785
CDK11B,3.847349877507093e-05,ENSG00000248333
BPTF,9.065091067701925e-05,ENSG00000171634
WTAP,7.712168540516186e-05,ENSG00000146457
ZMYND11,3.774248923182192e-05,ENSG00000015171
ERCC5,0.00010157795305453778,ENSG00000134899
UGP2,0.00010222080826188934,ENSG00000169764
OTUD6B,9.484962803583604e-05,ENSG00000155100
PCMT1,0.00018622294643262183,ENSG00000120265
GTF2H3,0.00012127041237123526,ENSG00000111358
CNOT2,0.00010690343519048977,ENSG00000111596
KYAT3,4.761588064842651e-05,ENSG00000137944
RFC3,0.0002686300561429121,ENSG00000133119
TONSL,4.1166413980889417e-05,ENSG00000160949
ALG11,6.080656722780662e-05,ENSG00000253710
CASP2,6.638484058913837e-06,ENSG00000106144
PPP1CC,0.00031991386423858885,ENSG00000186298
GPS1,0.0002744370554868488,ENSG00000169727
AP1M1,0.0002950864158276041,ENSG00000072958
SELENOH,1.3710238197889745e-05,ENSG00000211450
BLOC1S2,8.016537941661715e-05,ENSG00000196072
ZMYM2,3.685566266997965e-05,ENSG00000121741
RRP12,0.0003405141898109309,ENSG00000052749
INTS11,6.52838131298148e-05,ENSG00000127054
MTRF1,1.778747596055602e-05,ENSG00000120662
CCDC47,0.00020049741960728536,ENSG00000108588
MLST8,0.0001267514460952693,ENSG00000167965
MED6,0.0001012050875595471,ENSG00000133997
KIFC1,0.0010780364018105938,ENSG00000237649
NLE1,0.0002487971741253116,ENSG00000073536
CFDP1,0.0001321665441777356,ENSG00000153774
GET1,4.109071211648853e-05,ENSG00000182093
ANAPC11,7.890078453530833e-05,ENSG00000141552
BARD1,9.401996979824431e-05,ENSG00000138376
UAP1L1,0.00015665887600558578,ENSG00000197355
PSMA8,0.00014141444461667006,ENSG00000154611
UBE2D2,0.00017407380490365147,ENSG00000131508
LARS1,0.0005180140700200513,ENSG00000133706
RER1,0.00019476140454407278,ENSG00000157916
IPO8,0.00018222654662484967,ENSG00000133704
NARF,9.493584555945747e-05,ENSG00000141562
SDHA,0.0002510381127953747,ENSG00000073578
SETDB2,1.5790001777870646e-05,ENSG00000136169
PHF19,4.08195573767609e-05,ENSG00000119403
UPF3A,0.000134428487295654,ENSG00000169062
MBIP,5.491449764436837e-05,ENSG00000151332
PRDX1,0.0003188404437425677,ENSG00000117450
TAX1BP3,0.00012966561344205423,ENSG00000213977
CENPE,0.0001844566784371008,ENSG00000138778
EEF1D,0.00026035527242438246,ENSG00000104529
CTDP1,0.00021454670664409852,ENSG00000060069
VPS11,0.000112748242231659,ENSG00000160695
PRPF38B,5.784839210099137e-05,ENSG00000134186
INTS12,3.2066478633634646e-05,ENSG00000138785
MRM1,1.6222477749720964e-05,ENSG00000278619
EXOC7,0.00011862962633948254,ENSG00000182473
