Symbol,Score,ENSP
RAB11FIP3,2.6474384729224774e-05,9606.ENSP00000262305
TRAF4,5.189561900198699e-05,9606.ENSP00000262395
ERP44,6.779621253040168e-05,9606.ENSP00000262455
GNAO1,0.0001405553097465705,9606.ENSP00000262493
CSNK2A2,0.00014683765380365087,9606.ENSP00000262506
SEC23B,5.202332750529816e-05,9606.ENSP00000262544
PCSK2,0.0001205212767447062,9606.ENSP00000262545
OGN,0.0001068142465873725,9606.ENSP00000262551
TTPAL,2.286439657446478e-05,9606.ENSP00000262605
ATP4A,0.00010032065082949272,9606.ENSP00000262623
VAMP7,6.075122737064275e-05,9606.ENSP00000262640
RAB2A,0.00011059378759731559,9606.ENSP00000262646
PHLPP1,0.00019988380576647414,9606.ENSP00000262719
EFCAB6,0.0004123307080144256,9606.ENSP00000262726
PRDX1,0.00010745672093252011,9606.ENSP00000262746
RPS6KA6,0.00013703091871173598,9606.ENSP00000262752
PGS1,3.3763598338892506e-05,9606.ENSP00000262764
COPE,2.644130809053901e-05,9606.ENSP00000262812
PRKX,0.00020503985742295025,9606.ENSP00000262848
MYH7B,0.00011832176043865263,9606.ENSP00000262873
MAP2K2,0.00014649623190154213,9606.ENSP00000262948
GNA15,0.00012920151749686677,9606.ENSP00000262958
MAPK3,0.00033630395815747825,9606.ENSP00000263025
MAP3K8,0.00011155813098087848,9606.ENSP00000263056
SCARF1,3.7103264122098176e-05,9606.ENSP00000263071
PLD2,8.747485866957062e-05,9606.ENSP00000263088
RAB36,7.309012784465506e-05,9606.ENSP00000263116
PRKCQ,0.0001356535565820594,9606.ENSP00000263125
KIF18A,0.0001802944247261451,9606.ENSP00000263181
ARVCF,4.748941382650036e-05,9606.ENSP00000263207
PPM1F,6.149102761181459e-05,9606.ENSP00000263212
ACTR3,0.00015888171315969236,9606.ENSP00000263238
ARFGAP3,4.14141323244313e-05,9606.ENSP00000263245
PRKCG,0.0001574538196588921,9606.ENSP00000263431
OSBPL5,3.105051830677306e-05,9606.ENSP00000263650
EIF2AK4,7.841327910720563e-05,9606.ENSP00000263791
TYRO3,0.00014826457165019127,9606.ENSP00000263798
AKT3,0.00019973152547189395,9606.ENSP00000263826
OSBP,3.83924357797296e-05,9606.ENSP00000263847
VAMP8,6.113068383694923e-05,9606.ENSP00000263864
MAP4K3,6.428466075854866e-05,9606.ENSP00000263881
RND3,0.0001571105940050504,9606.ENSP00000263895
KDR,0.00019644908005769717,9606.ENSP00000263923
KIF1B,0.0001052392431799996,9606.ENSP00000263934
PKP1,3.518048820203196e-05,9606.ENSP00000263946
PIK3CA,0.0002217720976289652,9606.ENSP00000263967
MFN1,6.056246099346801e-05,9606.ENSP00000263969
ARCN1,4.6831834091059004e-05,9606.ENSP00000264028
NGEF,5.230599357073735e-05,9606.ENSP00000264051
DNAJC10,0.0001193064694820242,9606.ENSP00000264065
TUBB4A,0.0016933662271023944,9606.ENSP00000264071
ARHGAP31,2.7485050027435514e-05,9606.ENSP00000264245
TXNDC9,7.795222713384473e-05,9606.ENSP00000264255
OCIAD1,7.238077725977386e-06,9606.ENSP00000264312
TXK,9.737519256180142e-05,9606.ENSP00000264316
YWHAE,0.0017309399502757224,9606.ENSP00000264335
PIKFYVE,0.00020475559895427847,9606.ENSP00000264380
PRKG2,0.0001870596923446548,9606.ENSP00000264399
GUCY1B1,5.140678553966203e-05,9606.ENSP00000264424
GRIA2,4.708418115348326e-05,9606.ENSP00000264426
SEC22C,4.3234766150897546e-05,9606.ENSP00000264454
BBS7,7.319370997056829e-05,9606.ENSP00000264499
RAB17,4.308837905525353e-05,9606.ENSP00000264601
RAB10,8.206789320469289e-05,9606.ENSP00000264710
KIF3C,9.544591471750147e-05,9606.ENSP00000264712
FGFRL1,8.536256416930878e-05,9606.ENSP00000264748
ZAP70,0.0001377719495392381,9606.ENSP00000264972
MRPL3,8.778190609056963e-05,9606.ENSP00000264995
SSR3,3.709069766628769e-05,9606.ENSP00000265044
RAB7A,0.0001438452856006082,9606.ENSP00000265062
GOLPH3,9.827293271013911e-05,9606.ENSP00000265070
NPR3,6.891866903304723e-05,9606.ENSP00000265074
TARS1,6.662835262228466e-05,9606.ENSP00000265112
CENPE,0.0004372091342676161,9606.ENSP00000265148
SEC24B,4.155464003570875e-05,9606.ENSP00000265175
NME5,7.774439003283561e-05,9606.ENSP00000265191
RBM27,1.2887781845709699e-05,9606.ENSP00000265271
PIP5K1B,7.219765161565594e-05,9606.ENSP00000265382
CPVL,3.903145275535038e-05,9606.ENSP00000265394
CALB1,0.00011054088385076974,9606.ENSP00000265431
NBN,6.0874064960679794e-05,9606.ENSP00000265433
KIF9,7.352895780049867e-05,9606.ENSP00000265529
PRKAR2A,0.00018979293617697079,9606.ENSP00000265563
PRKAR2B,0.0017134598659415375,9606.ENSP00000265717
ABCB4,7.493514504747487e-05,9606.ENSP00000265723
ABCB1,0.00011188310037391702,9606.ENSP00000265724
CDK6,0.0002696709943730595,9606.ENSP00000265734
CDK14,0.00023866349297708135,9606.ENSP00000265741
